areaId,areaName,observedAt,riskScore,ruleConcernLevel,targetElevatedConcern,labelSource,rainfallLatestMm,rainfall1hMm,rainfall3hMm,rainfall24hMm,rainfall72hMm,antecedentWetnessMm,antecedentRainfallIndex,riverLatestM,riverDelta1hM,riverDelta3hM,riverTrendCode,rateOfRiseMPerHour,dataFreshnessScore,sourceCoverage,decisionReliabilityScore,confidence,warningActive,warningStatus,areaRelevanceScore,nearestStationDistanceKm
parramatta,"Parramatta, NSW",2026-06-24T16:28:13.485Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:28:13.485Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:28:13.485Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:28:13.488Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:28:13.488Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:28:13.488Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:28:39.195Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:28:39.195Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:28:39.195Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:29:13.484Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:29:13.484Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:29:13.484Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:29:13.487Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:29:13.487Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:29:13.487Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:29:43.238Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:29:43.238Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:29:43.238Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
parramatta,"Parramatta, NSW",2026-06-24T16:30:43.246Z,11,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0
north-parramatta,"North Parramatta, NSW",2026-06-24T16:30:43.246Z,9,Low,0,rule_derived,0,0,0,0,0,0,,1,,,,,0,0,66,38,,,100,0.2
toongabbie,"Toongabbie, NSW",2026-06-24T16:30:43.246Z,15,Low,0,rule_derived,0,0,0,0,0,0,,0.34,,,,,0,0,66,38,,,100,0.6
