feature,importance,modelName
numeric__antecedentWetnessMm,0.18490952523082538,logistic_regression
numeric__rainfall72hMm,0.17868354998345862,logistic_regression
numeric__rainfall24hMm,0.12952224152900393,logistic_regression
numeric__rainfall3hMm,0.12348962310599283,logistic_regression
numeric__rainfall1hMm,0.1013434003168034,logistic_regression
numeric__areaRelevanceScore,0.09314658907275403,logistic_regression
numeric__dataFreshnessScore,0.09160883601148388,logistic_regression
numeric__rainfallLatestMm,0.0698978288587708,logistic_regression
categorical__areaId_toongabbie,0.0031195481217691145,logistic_regression
numeric__antecedentRainfallIndex,0.002435417740456065,logistic_regression
categorical__areaId_parramatta,0.0023419833474900265,logistic_regression
numeric__riverLatestM,0.0013533786017148033,logistic_regression
numeric__sourceCoverage,0.0011623465262123626,logistic_regression
numeric__riverDelta3hM,0.000332577216732617,logistic_regression
numeric__nearestStationDistanceKm,0.00030209789331040734,logistic_regression
numeric__riverDelta1hM,0.00025507640307760186,logistic_regression
numeric__rateOfRiseMPerHour,0.00025507640307760186,logistic_regression
numeric__riverTrendCode,5.792162429359176e-06,logistic_regression
numeric__warningActive,5.792162429359176e-06,logistic_regression
