feature,importance,modelName
numeric__riverLatestM,0.24184889069383073,random_forest
numeric__rainfall72hMm,0.13095837064827767,random_forest
numeric__rainfall24hMm,0.1203685741390229,random_forest
numeric__dataFreshnessScore,0.10150078908333919,random_forest
numeric__rainfallLatestMm,0.1000315519163081,random_forest
numeric__sourceCoverage,0.09060088675534685,random_forest
categorical__areaId_parramatta,0.07530501546868676,random_forest
categorical__areaId_toongabbie,0.06932215890710296,random_forest
numeric__nearestStationDistanceKm,0.06299121121966354,random_forest
numeric__riverDelta1hM,0.0019229184709884392,random_forest
numeric__rateOfRiseMPerHour,0.0019140508289961268,random_forest
numeric__rainfall1hMm,0.0015507303426448257,random_forest
numeric__rainfall3hMm,0.0013157084849968433,random_forest
numeric__areaRelevanceScore,0.00036914304079517095,random_forest
numeric__antecedentRainfallIndex,0.0,random_forest
numeric__antecedentWetnessMm,0.0,random_forest
numeric__warningActive,0.0,random_forest
numeric__riverTrendCode,0.0,random_forest
