rainfall1hMm,rainfall3hMm,rainfall24hMm,rainfall72hMm,riverRise1hM,riverRise3hM,minimumCoreCoverage,rows,positives,negatives,tp,tn,fp,fn,recall,falsePositiveRate,balancedAccuracy,eventWindowCount,detectedEventWindows,missedEventWindows,timeToDetectionHours,rawTriggeredRows,degradedSourceSuppressedRows,degradedSourceSuppressionRate
8.0,16.0,40.0,65.0,0.12,0.24,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.12,0.24,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.12,0.24,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.12,0.3,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.12,0.3,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.12,0.3,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.12,0.36,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.12,0.36,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.12,0.36,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.24,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.24,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.24,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.3,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.3,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.3,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.36,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.36,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.15,0.36,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.24,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.24,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.24,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.3,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.3,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.3,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.36,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.36,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,65.0,0.18,0.36,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.24,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.24,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.24,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.3,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.3,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.3,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.36,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.36,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.12,0.36,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.24,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.24,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.24,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.3,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.3,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.3,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.36,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.36,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.15,0.36,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.24,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.24,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.24,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.3,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.3,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.3,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.36,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.36,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,80.0,0.18,0.36,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.24,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.24,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.24,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.3,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.3,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.3,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.36,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.36,0.7,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.12,0.36,0.8,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
8.0,16.0,40.0,95.0,0.15,0.24,0.6,3000,18,2982,0,2982,0,18,0.0,0.0,0.5,3,0,3,,0,0,
